STR_Nr;Region;ASC_Standort;STR_Bezeichnung;Verkehrsstelle;GEB_Bezeichnung;GEB_Nr;Gps Lon;Gps Lat;ENT_Nr;Strasse;Nr;STR_km;Ort;Plz;Bl;Blitzschutz;Ableiter;Gebäudeart;SLT_Haus;M2_Geb;M2_Ueberdacht;Argus;Nbr;FI_Schalter
8051090;SAE-Süd 1;ASC Leoben;BF.WARTBERG/MÜRZTAL;Bahnhof;BM - UNTERKUNFT-WARTBERG/M.;14498;15,48208584;47,52691688;759;SCHEIBSGRABEN;1A;135,235;WARTBERG I. MÜRZTAL;8661;St;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;129,31;;Ja;Nein;
8051110;SAE-Süd 1;ASC Leoben;BF.KINDBERG;Bahnhof;ESTW-KINDBERG;664;15,44816716;47,5013395;760;BAHNHOFSTRAßE;24;140,086;KINDBERG;8650;St;BLITZSCHUTZ;19;Betriebsgebäude;Nein;448,57;;Ja;Nein;5
8051130;SAE-Süd 1;ASC Leoben;BF.MAREIN=ST.LORENZEN;Bahnhof;AG-ST.MAREIN=LORENZEN;1193;15,37317182;47,47344103;764;BAHNHOFSTRASSE;9;144,216;ST. MAREIN/LORENZEN;8641;St;BLITZSCHUTZ;2;Betriebsgebäude;Nein;452,5;;Ja;Nein;2
8051190;SAE-Süd 1;ASC Leoben;BF.KAPFENBERG HBF.;Bahnhof;MITTELSTELLWERK-KAPFENBERG;1609;15,29263464;47,445199;766;BAHNSTRAßE;4;153,569;KAPFENBERG;8605;St;KEIN BLITZSCHUTZ;0;Werkstätte;Nein;38,27;;Ja;Nein;
8051190;SAE-Süd 1;ASC Leoben;BF.KAPFENBERG HBF.;Bahnhof;AUFNAHMEGEBÄUDE-KAPFENBERG;1609;;;769;BAHNSTRAßE;4;153,638;KAPFENBERG;8605;St;BLITZSCHUTZ;9;Betriebsgebäude;Nein;969,62;;Nein;Nein;0
8051230;SAE-Süd 1;ASC Leoben;BF.BRUCK/MUR FBF.;Bahnhof;DIENSTGEB. VERSCHUB N0RD-FBF BRUCK/MUR;3960;;;772;NB;NB;156,152;KAPFENBERG;8605;St;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;41,89;;Ja;Nein;2
8051230;SAE-Süd 1;ASC Leoben;BF.BRUCK/MUR FBF.;Bahnhof;LOKSCHUPPEN (Produktion) -FBF BRUCK/MUR;10998;;;774;GUSTAV KRAMER STRASSE;32;156,47;KAPFENBERG;8605;St;BLITZSCHUTZ;12;Werkstätte;Nein;1589,98;;Ja;Nein;
8051230;SAE-Süd 1;ASC Leoben;BF.BRUCK/MUR FBF.;Bahnhof;ZUGFÖRDERUNG (BETRIEBSGEB.PRODUKTION)-FBF BRUCK/MUR;17825;;;775;GUSTAV KRAMER STRASSE;32;156,528;KAPFENBERG;8605;St;BLITZSCHUTZ;12;Betriebsgebäude;Nein;704,05;;Ja;Nein;
8051230;SAE-Süd 1;ASC Leoben;BF.BRUCK/MUR FBF.;Bahnhof;TS-WERK-FBF BRUCK/MUR;18042;;;782;GUSTAV KRAMER STRASSE;32;156,65;KAPFENBERG;8605;St;BLITZSCHUTZ;11;Werkstätte;Nein;1685,15;;Ja;Nein;50
8041010;SAE-Süd 1;ASC Leoben;BF.ST.MICHAEL;Bahnhof;AG-ZUBAU VERSCHUB;1873;15,00941295;47,34676761;10343;BAHNHOFSPLATZ;4;202,412;ST.MICHAEL;8770;St;KEIN BLITZSCHUTZ;0;Betriebsgebäude;Nein;2501;;Ja;Nein;13
